WZ_CD,Emp_2011,Empl_SIC_A,Empl_SIC_B,Empl_SIC_C,Empl_SIC_D,Empl_SIC_E,Empl_SIC_F,Empl_SIC_G,Empl_SIC_H,Empl_SIC_I,Empl_SIC_J,Empl_SIC_K,Empl_SIC_L,Empl_SIC_M,Empl_SIC_N,Empl_SIC_O,Empl_SIC_P,Empl_SIC_Q,Empl_SIC_RS,Empl_SIC_T,Empl_SIC_U
E33029032,2122,1,0,13,0,5,56,58,73,77,68,18,16,131,37,1020,168,334,46,1,0
E33029033,246,0,0,9,0,0,8,57,5,44,4,0,9,4,16,3,37,15,34,1,0
E33029034,362,0,0,15,0,0,25,135,4,43,8,22,19,6,15,7,8,17,37,1,0
E33029035,522,0,0,59,0,0,18,23,12,2,6,6,25,16,19,13,4,317,2,0,0
E33029036,1068,0,1,14,0,0,19,17,29,16,18,11,13,99,20,196,38,556,21,0,0
E33029037,1650,0,0,6,0,4,63,61,4,31,47,5,7,29,51,1260,49,18,14,0,1
E33029038,680,0,0,8,0,1,3,71,49,440,8,2,2,8,8,2,59,12,7,0,0
E33029039,360,0,0,2,0,1,12,57,109,33,21,6,24,28,20,4,6,6,30,1,0
E33029040,313,0,0,11,0,0,14,49,0,51,6,73,15,17,18,0,24,7,28,0,0
E33029041,355,0,0,9,0,0,16,102,3,53,7,28,14,14,16,4,8,44,37,0,0
E33029042,232,0,0,3,1,4,10,25,67,4,6,3,7,18,7,2,34,32,7,2,0
E33029043,1253,0,0,13,0,16,26,657,91,60,28,106,25,98,71,3,14,26,19,0,0
E33029044,214,0,0,14,0,0,4,35,16,20,1,19,14,13,11,1,2,36,28,0,0
E33029045,367,1,0,4,0,2,15,42,21,33,23,9,6,90,52,1,3,34,31,0,0
E33029046,259,0,0,1,0,0,21,21,19,6,19,9,5,44,25,2,61,19,7,0,0
E33029047,238,0,0,2,0,0,14,35,3,22,2,12,43,61,12,3,5,9,15,0,0
E33029048,244,0,0,6,0,0,19,10,3,6,49,8,9,58,22,37,0,9,8,0,0
E33029049,366,0,0,3,0,0,40,43,13,4,31,3,62,19,7,120,4,17,0,0,0
E33029050,1401,0,0,9,1,1,36,58,9,63,64,53,108,98,56,12,68,721,41,3,0
E33029051,235,0,0,3,0,0,26,11,1,4,9,0,17,25,8,1,90,11,27,1,1
E33029052,301,0,0,3,0,0,6,14,4,2,6,3,8,13,4,0,192,41,1,4,0
E33029053,276,0,0,4,0,0,12,72,1,13,6,7,38,51,9,1,15,19,28,0,0
E33029054,337,0,0,13,0,0,15,76,41,13,2,6,5,87,14,32,4,17,12,0,0
E33029055,309,0,0,6,0,0,5,196,6,17,4,6,20,5,16,1,7,6,14,0,0
E33029056,404,0,0,3,0,0,8,4,2,19,5,4,2,10,4,3,13,316,11,0,0
E33029057,310,0,0,5,0,0,16,32,38,16,7,14,7,28,13,10,18,95,9,1,1
E33029058,349,0,0,12,0,2,20,25,12,62,45,10,17,53,37,4,9,29,10,2,0
E33029059,403,0,0,1,0,0,19,24,6,18,22,4,7,18,19,2,225,20,14,3,1
E33029060,852,1,0,4,1,0,19,9,0,37,3,4,1,9,18,46,637,12,51,0,0
E33029061,240,0,0,4,1,1,13,72,3,20,11,9,15,28,12,2,8,15,26,0,0
E33029062,238,0,0,4,0,6,7,23,2,7,24,4,4,12,26,3,4,65,44,3,0
E33029063,228,0,0,11,0,0,14,46,4,27,11,7,34,12,41,1,4,7,9,0,0
E33029064,1241,2,0,7,0,1,15,30,5,17,11,16,8,40,20,4,953,54,56,2,0
E33029065,204,0,0,3,1,0,5,11,0,3,3,37,3,7,3,2,9,112,4,1,0
E33029066,425,0,0,16,0,0,11,137,17,28,4,39,8,81,6,3,7,55,13,0,0
E33029067,727,0,0,8,2,1,9,359,6,33,28,21,20,13,54,19,21,71,61,1,0
E33029068,515,0,0,30,3,0,33,154,36,28,15,16,9,72,19,2,21,51,26,0,0
E33029069,358,0,0,4,0,0,5,29,4,27,2,7,5,6,7,80,163,5,13,1,0
E33029070,291,1,0,36,0,0,10,109,2,25,10,29,3,11,11,1,1,9,29,4,0
E33029071,360,0,0,6,0,0,8,72,136,14,2,20,18,18,18,2,5,7,34,0,0
E33029072,210,0,0,1,0,0,14,41,6,35,27,12,11,3,21,2,20,4,12,1,0
E33029073,497,0,0,4,0,0,6,4,4,4,1,0,1,5,0,0,5,12,450,1,0
E33029074,915,5,0,6,0,0,21,24,3,21,18,3,5,743,30,3,10,9,14,0,0
E33029075,568,0,0,18,0,0,56,72,4,28,10,16,38,180,73,3,10,30,30,0,0
E33029076,497,0,0,10,0,0,6,191,3,4,24,105,11,62,42,5,6,17,11,0,0
E33029077,294,0,0,12,5,2,108,13,11,10,15,3,7,23,50,4,7,7,17,0,0
E33029078,268,0,0,2,0,0,8,12,1,11,18,33,2,89,10,31,1,2,2,0,46
E33029079,543,0,0,4,0,0,28,5,42,3,3,50,165,13,19,120,8,82,1,0,0
E33029080,257,0,0,19,0,0,2,168,4,13,1,3,3,7,6,3,1,14,12,1,0
E33029081,249,0,0,1,0,0,10,93,3,9,2,4,2,70,2,3,2,43,5,0,0
E33029082,438,0,0,3,2,1,22,75,5,46,34,20,17,98,36,6,12,52,9,0,0
E33029083,2467,0,1,8,0,1,15,31,10,87,17,5,1,18,23,27,21,2187,14,1,0
E33029084,266,0,0,7,1,0,8,31,2,22,13,5,8,87,12,0,8,51,11,0,0
E33029085,459,0,0,8,1,0,20,34,5,12,119,24,46,75,27,4,38,20,26,0,0
E33029086,214,0,0,8,0,0,4,13,3,9,1,23,3,92,4,37,1,4,12,0,0
E33029087,227,1,0,7,0,0,4,44,3,30,4,16,20,49,6,2,9,14,18,0,0
E33029088,536,0,0,10,1,0,17,267,7,14,21,12,3,40,23,5,24,69,23,0,0
E33029089,294,1,0,10,0,0,26,24,1,5,5,2,1,70,10,13,7,43,75,0,1
E33029090,702,0,0,6,0,0,33,350,6,113,10,38,8,30,21,2,32,20,32,1,0
E33029091,397,0,0,17,2,0,40,126,11,3,11,3,14,57,13,60,6,27,7,0,0
E33029092,423,0,0,14,0,0,31,77,19,58,7,49,11,37,28,4,27,16,43,2,0
E33029093,231,0,0,2,0,1,13,12,7,12,9,4,2,38,14,1,3,108,5,0,0
E33031856,277,0,0,4,0,1,31,67,5,10,6,3,0,5,9,23,1,1,111,0,0
E33031857,360,0,0,13,0,1,15,273,2,11,1,0,2,10,9,2,7,9,5,0,0
E33031858,365,0,0,4,0,0,22,24,5,6,165,1,21,24,10,2,8,63,10,0,0
E33032261,286,1,1,7,0,0,16,16,6,6,16,17,9,28,12,6,27,88,29,1,0
E33032262,549,1,1,8,0,3,20,35,5,42,29,17,21,44,16,15,180,92,18,2,0
E33032263,267,0,0,32,0,0,83,29,7,5,24,1,1,30,12,4,14,18,7,0,0
E33032264,354,0,0,3,0,0,13,18,2,18,5,2,2,16,7,3,240,17,8,0,0
E33032265,461,1,0,42,2,0,50,149,12,22,16,25,15,36,30,4,10,14,32,0,1
E33032266,311,0,0,2,0,0,22,16,4,14,14,10,9,32,13,2,88,52,24,9,0
E33032267,288,0,0,12,0,0,42,43,12,13,17,9,2,33,10,7,46,26,15,1,0
E33032268,494,0,0,9,2,2,56,60,9,47,36,11,21,84,33,10,29,36,46,3,0
E33032269,431,0,0,1,0,1,15,15,8,9,15,7,2,61,12,18,174,82,10,1,0
E33032270,362,0,0,14,2,3,77,24,6,13,26,21,7,29,16,1,38,48,36,1,0
E33032271,300,0,0,6,1,0,58,27,11,6,26,11,6,26,20,37,25,23,14,3,0
E33032272,471,0,0,10,0,0,24,50,29,37,34,5,19,94,56,3,8,82,19,0,1
E33032273,356,0,0,5,0,0,36,12,27,6,15,5,1,25,18,4,166,18,18,0,0
E33032274,381,0,0,21,2,1,39,26,104,4,17,6,2,29,44,2,16,52,16,0,0
E33032275,451,2,0,29,3,3,69,49,28,5,22,19,11,52,32,8,32,42,42,3,0
E33032276,374,0,0,5,2,0,21,12,8,12,9,3,1,15,16,7,240,7,16,0,0
E33032277,279,0,0,5,2,0,51,16,10,36,17,8,9,42,18,3,37,5,19,1,0
E33032278,415,2,0,7,3,3,62,48,30,6,16,10,10,33,43,8,72,40,21,1,0
E33032279,404,1,0,9,0,1,57,26,24,22,20,4,5,12,23,16,95,67,19,3,0
E33032280,466,0,0,3,2,1,16,20,5,13,15,5,4,22,6,4,12,322,16,0,0
E33032281,359,0,0,11,1,1,53,23,23,11,19,5,1,15,16,6,29,48,93,4,0
E33032282,654,0,0,16,2,1,40,100,101,37,38,7,9,33,28,111,24,52,52,3,0
E33032283,434,0,0,18,0,0,49,42,13,9,15,7,12,52,25,7,64,81,39,1,0
E33032284,375,0,1,15,1,2,43,40,109,17,17,9,9,30,15,9,17,25,13,3,0
E33032285,410,0,1,39,0,0,60,101,15,22,14,6,4,26,25,5,37,35,17,3,0
E33032286,391,0,1,14,2,1,38,72,4,4,17,18,9,48,8,12,30,82,31,0,0
E33032287,285,0,0,9,0,3,37,17,14,3,11,6,4,17,8,6,123,19,8,0,0
E33032288,684,0,0,11,78,4,91,203,19,32,8,22,8,25,40,4,50,48,40,1,0
E33032289,528,0,0,10,1,1,54,92,9,44,10,22,28,41,14,60,50,34,56,2,0
E33032290,370,0,0,32,2,0,63,52,10,14,23,8,6,43,16,5,32,40,22,1,1
E33032291,227,1,0,1,0,3,20,29,7,23,15,12,9,15,23,2,29,10,15,13,0
E33032292,276,0,1,5,0,0,40,24,29,17,12,7,12,28,20,8,20,35,16,2,0
E33032293,318,0,0,2,1,0,18,12,4,10,8,8,10,19,11,2,156,43,10,4,0
E33032294,362,0,0,8,1,1,56,24,7,21,23,17,7,42,42,3,16,73,16,5,0
E33032295,232,2,0,4,1,0,12,32,5,14,4,5,5,18,11,1,19,74,21,4,0
E33032296,751,2,0,10,0,1,53,52,16,66,17,16,10,24,25,8,358,47,34,11,1
E33032297,329,0,0,10,1,2,18,51,17,16,15,10,24,51,10,7,27,30,35,5,0
E33032298,371,0,0,0,1,1,22,19,12,11,2,6,3,5,7,5,181,70,24,2,0
E33032299,311,0,0,15,0,0,42,21,17,8,21,11,18,52,29,9,18,18,29,2,1
E33032300,277,0,0,9,2,1,30,96,3,11,10,6,9,28,9,7,14,21,18,3,0
E33032301,265,1,0,7,1,0,17,19,6,5,19,11,6,32,12,5,72,32,17,3,0
