WZ_CD,LA_CD,LA_NM,Group,Group_DESC,SubGroup,SubGroup_DESC
E33028816,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028817,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028818,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028819,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028820,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028821,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028822,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028823,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028824,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028825,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028826,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028827,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028828,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028829,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028830,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028831,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028832,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028833,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028834,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028835,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028836,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028837,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028838,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028839,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
