WZ_CD,Emp_2011
E33000439,687
E33000440,361
E33000441,462
E33000454,772
E33000455,3278
E33000456,286
E33000457,1211
E33000458,547
E33001679,526
E33001680,343
E33001681,218
E33001682,317
E33001683,756
E33001684,620
E33001685,377
E33001686,337
E33001687,274
E33001688,491
E33001689,289
E33001690,416
E33001691,294
E33001692,256
E33001693,896
E33001694,304
E33001695,408
E33001696,683
E33001697,286
E33000438,293
E33001698,426
E33001699,353
E33001700,303
E33001701,293
E33001702,569
E33000410,306
E33000411,312
E33000412,506
E33000413,343
E33000414,243
E33000415,523
E33000416,217
E33000417,285
E33000418,256
E33000419,263
E33000420,313
E33000421,1493
E33000422,672
E33000423,618
E33000424,340
E33000425,249
E33000426,222
E33000427,468
E33000428,374
E33000429,285
E33000430,203
E33000431,483
E33000432,235
E33000434,311
E33000435,241
E33000436,310
E33000437,421
E33000451,627
E33000452,445
E33001703,268
E33001704,302
E33001705,397
E33001706,2730
E33000433,369
E33000442,502
E33000443,377
E33000444,452
E33000445,355
E33000446,397
E33000447,1030
E33001707,753
E33001708,220
E33001709,1160
E33001710,787
E33001711,293
E33001712,495
E33001713,219
E33001714,281
E33001715,236
E33001716,295
E33001717,233
E33001718,513
E33001719,245
E33000450,955
E33001720,278
E33001721,231
E33001722,417
E33001723,372
E33001724,290
E33001725,382
E33001726,268
E33001727,276
E33001728,240
E33001729,422
E33001730,703
E33000453,203
E33001731,303
E33001732,527
E33001733,693
E33000448,544
E33000449,567
E33001734,299
E33001735,486
E33001736,442
E33001737,552
E33001738,241
E33001739,353
E33001740,344
E33001741,292
E33001742,517
E33001743,268
E33001744,325
E33000464,394
E33000465,392
E33000466,474
E33000467,258
E33000468,398
E33000469,539
E33001745,294
E33001746,273
E33001747,567
E33001748,232
E33000459,666
E33000460,341
E33001749,666
E33001750,538
E33001751,453
E33001752,295
E33001753,345
E33000461,213
E33000462,304
E33000463,277
E33001754,282
E33001755,338
E33001756,273
E33001757,762
E33001758,712
E33001759,533
E33001760,307
E33001761,259
E33001762,286
E33001763,245
E33001764,509
